source_name,source_type,source_RA,source_DEC,22present,27present
4FGL_J1853.3-0005,PSR,283.3487,-0.0895,1,1
4FGL_J1935.2+2029,PSR,293.8179,20.4908,1,1
4FGL_J0605.1+3757,PSR,91.2820,37.9592,1,1
4FGL_J1817.1-1742,PSR,274.2920,-17.7023,1,1
4FGL_J2241.7-5236,PSR,340.4380,-52.6084,1,1
4FGL_J1832.4-0847,PSR,278.1013,-8.7935,1,1
4FGL_J2052.7+1218,PSR,313.1937,12.3162,1,1
4FGL_J0631.8+0645,PSR,97.9644,6.7625,1,1
4FGL_J1057.9-5227,PSR,164.4976,-52.4528,1,1
4FGL_J1653.6-0158,PSR,253.4011,-1.9737,1,1
4FGL_J1137.6+7527,PSR,174.4247,75.4583,1,1
4FGL_J0030.4+0451,PSR,7.6107,4.8592,1,1
4FGL_J1411.5-6133,PSR,212.8964,-61.5539,1,1
4FGL_J1555.7-2908,PSR,238.9256,-29.1371,1,1
4FGL_J1019.8-5749,PSR,154.9668,-57.8279,1,1
4FGL_J0514.6-4408,PSR,78.6547,-44.1358,1,1
4FGL_J2017.9+3625,PSR,304.4909,36.4277,1,1
4FGL_J1957.6+5033,PSR,299.4058,50.5598,1,1
4FGL_J2205.5+6016,PSR,331.3984,60.2694,1,1
4FGL_J0631.5+1036,PSR,97.8765,10.6046,1,1
4FGL_J0554.1+3107,PSR,88.5480,31.1176,1,1
4FGL_J1312.7+0050,PSR,198.1894,0.8420,1,1
4FGL_J0251.0+2605,PSR,42.7587,26.0936,1,1
4FGL_J1836.2+5925,PSR,279.0556,59.4279,1,1
4FGL_J1024.5-0719,PSR,156.1254,-7.3196,1,1
4FGL_J1855.9-1435,PSR,283.9946,-14.5908,1,1
4FGL_J1615.3-5136,PSR,243.8303,-51.6135,1,1
4FGL_J1741.4+1354,PSR,265.3668,13.9093,1,1
4FGL_J1135.2-6055,PSR,173.8043,-60.9297,1,1
4FGL_J1641.2-5317,PSR,250.3250,-53.2989,1,1
4FGL_J2006.2+3102,PSR,301.5661,31.0446,1,1
4FGL_J2214.6+3000,PSR,333.6695,30.0061,1,1
4FGL_J1857.6+0143,PSR,284.4090,1.7327,1,1
4FGL_J1311.7-3430,PSR,197.9484,-34.5097,1,1
